ID,Gender,What is your field of working? (mention your position in specific) ,"Years of experience ( Eg: 2 yrs, 5 yrs )",Which of the following best describes your age group?,Which of these describes your personal income last year? ,,How satisfied are you with your current job?,Do you have career growth and development opportunities at your organisation?,Have you ever had to take your work to home in order to complete it? (apart from covid related work from home ),How long do you stay at your office after office hours?, How much do you think you are sacrificing your personal happiness for your professional success,Do you think  your workplace environment as adaptable that can drive better mental health?,Have any of your family members ever expressed dissatisfaction regarding the time you spend for office work?,Have you ever been treated low by your subordinates or co workers?,How many times a week have you interacted with your superior?,How often have you received feedbacks from your senior leader?  ( feedback could be formal or informal) , Would you demand or negotiate a promotion?,Have you experienced any unfairness in your payment as compared to your co-worker who have same qualifications and experience?,What is the highest degree or level of education you have completed?,Did you ever feel like you need to put extra effort to get promoted compared to others?,Have you faced any difficulties at your work place due to your responsibility as a mother/father?,Have you ever faced any discrimination at your workplace?,Would you like to share any problems you have faced at your workplace?,"On average, how many hours do you work on a day?",How good is your relationship with your superior?,Which of the following qualities do you think you have?
1,Female,Data,1,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,6,Salary is my only concern,"No, I don't bring my work back home",I don't stay overtime,5,No,Sometimes,Never,Only during meetings,Very often,Never,"No, I haven't",Bachelor's degree,No,Yes,No,paruuuuuuuuu,More than 10 hours,5,
2,Female,it,3,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),I have stayed over night,2,Yes,No,Sometimes,Only during meetings,Sometimes,Maybe,"No, I haven't",Bachelor's degree,Yes,No,No,,8 - 10 hours,4,
3,Female,it,2,under 20 yrs,"5,50,000 - 6,50,000 INR",,1,Yes,"Yes, everyday",1 hour maximum,1,Yes,Sometimes,Never,everyday,Very often,"Yes, I would","No, I haven't",Bachelor's degree,Yes,Yes,No,hi hi hi hiiiii sukhanooo????,5 - 7 hours,5,
4,Male,Specialist IT Resources,13,31- 40 yrs,700000,,6,No,Sometimes ( depends on the urgency of the work),I don't stay overtime,0,Yes,No,Never,Only during meetings,Very often,Never,"Yes, I have",Master's degree,No,No,No,,8 - 10 hours,5,
5,Male,Medical billing - Account Executive,3,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,Yes,"No, I don't bring my work back home",1 hour maximum,1,Yes,Sometimes,Never,everyday,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,No,No,I haven't had any problems till date. ,8 - 10 hours,4,
6,Female,Civil engineering,20,41 - 50 yrs,"5,50,000 - 6,50,000 INR",,5,No,Sometimes ( depends on the urgency of the work),I don't stay overtime,0,No,No,Never,Depends,Very often,Never,"Yes, I have",Diploma,No,No,No,Salary could be improved and office set up also,5 - 7 hours,3,
7,Male,Civil site supervisor ,3,20 - 30 yrs,"below 2,00,000 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,3,Yes,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Diploma,No,Yes,No,I deserve better,8 - 10 hours,4,
8,Female,Superintendent ,15,41 - 50 yrs,Above 1000000,,6,Yes,Sometimes ( depends on the urgency of the work),1 hour maximum,0,Yes,No,Never,everyday,Sometimes,Never,"No, I haven't",Bachelor's degree,No,No,No,No,8 - 10 hours,5,
9,Male,IT Engineer ,6,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,4,Yes,"Yes, everyday",I have stayed over night,3,Yes,Yes,Never,Only during meetings,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,Yes,No,No,,8 - 10 hours,3,
10,Female,Senior Engineer - R&D,3,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,6,Yes,"No, I don't bring my work back home",Will leave the office before 7 PM,2,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,No,No,No,Can't think of any now,8 - 10 hours,4,
11,Female,Credit Controller ,2,20 - 30 yrs,"Above 6,50,000",,6,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,5,Yes,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Master's degree,Yes,No,No,,8 - 10 hours,5,
12,Female,IT,1,20 - 30 yrs,"below 2,00,000 INR",,5,Yes,Sometimes ( depends on the urgency of the work),Will leave the office before 7 PM,4,Yes,Sometimes,Never,Depends,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,5,
13,Male,Education (Assistant Professor ),4,20 - 30 yrs,"2,00,000 - 3,49,999 INR",,4,No,"Yes, everyday",Will leave the office before 7 PM,4,No,Sometimes,Sometimes,everyday,Sometimes,Never,"Yes, I have",Master's degree,No,No,No,Nope,8 - 10 hours,4,
14,Female,IT,4,20 - 30 yrs,Na,,4,No,Sometimes ( depends on the urgency of the work),1 hour maximum,4,Yes,No,Sometimes,Depends,Sometimes,Maybe,"Yes, I have",Bachelor's degree,Yes,Not a parent,Yes,,8 - 10 hours,2,
15,Male,Information Technology (Data Science Consultant),3,20 - 30 yrs,"9,00,000",,3,Yes,"Yes, everyday",I don't stay overtime,2,No,Yes,Sometimes,everyday,Very often,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,Yes,Too many incompetent people to babysit,5 - 7 hours,5,
16,Male,Civil Engineering,2,20 - 30 yrs,"below 2,00,000 INR",,3,Salary is my only concern,"Yes, everyday",Will leave the office before 7 PM,4,No,Yes,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,2,
17,Female,Development,4,20 - 30 yrs,"4,50,000 - 5,49,999 INR",,4,Yes,"Yes, everyday",1 hour maximum,4,No,Yes,Sometimes,once in a week,Sometimes,"Yes, I would","No, I haven't",Bachelor's degree,No,Not a parent,No,,8 - 10 hours,3,
18,Female,Senior voice associate,5,31- 40 yrs,"3,50,000 - 4,49,999 INR",,3,No,"Yes, everyday",1 hour maximum,4,No,Sometimes,Sometimes,Only during meetings,Never,"Yes, I would","Yes, I have",Master's degree,No,Not a parent,No,,8 - 10 hours,2,
19,Male,"Site engineer,NDE department",1,20 - 30 yrs,"3,50,000 - 4,49,999 INR",,4,Yes,Sometimes ( depends on the urgency of the work),More than 3 hours,4,No,No,Never,everyday,Sometimes,Maybe,"No, I haven't",Bachelor's degree,No,No,No,No,8 - 10 hours,5,
20,Male,Digital Project Manager,7,31- 40 yrs,1000000,,2,No,"Yes, everyday",More than 3 hours,5,No,Yes,Never,everyday,Sometimes,"Yes, I would","Yes, I have",Bachelor's degree,No,Not a parent,No,,More than 10 hours,5,
